feat,r_raw,p_raw,n,df,lo_raw,hi_raw,slope_raw,p_perm,holm_raw,bh_raw,r_strat,p_strat,df_strat,slope,r_add,p_add,holm_strat,bh_strat,pretty,digit,r_effort,p_effort,unique_grip,unique_effort,shared,crit_r_strat
CV_peak,-0.35649181565931154,0.02590621518074129,41,37,-0.6040641827691642,-0.04616766909258805,-16.11519628506651,0.019549022548872558,0.12091525099316947,0.030477900212636813,-0.008468057084847947,0.9626962567506655,31,-0.09896879694392978,0.05532927611047459,0.744989811324412,1.0,0.9626962567506655,Inter-finger discrepancy,total,-0.3944130328490624,0.012969114243025803,0.0002688618622512795,0.6380500016970506,0.10537127448807815,0.34395728870431536
finger_F_rel_N,0.5899113853166094,7.74209019877111e-05,41,37,0.337146419762772,0.7633485786905179,0.5380133239367035,0.00014999250037498125,0.0013161553337910886,0.0003568540385904138,0.3263086241208705,0.06383680077054862,31,0.09733137654662752,0.06246360975617397,0.7134180703792505,0.8937152107876807,0.16097249770949257,Index+middle force at release,finger,0.6069121560389827,4.2001583040565026e-05,0.00034266786815362327,0.4544939532034561,0.2889273229816727,0.34395728870431536
finger_RFD_Ns,0.5238055931109132,0.0006211199388937748,41,37,0.2495279205725382,0.7202819391228101,8.621297498651147e-06,0.0005499725013749313,0.008830098551481369,0.0017746283968393568,-0.15755621924766053,0.3812038255043636,31,-8.616349370647567e-07,0.04243425828228435,0.8030742003409153,1.0,0.47650478188045453,Index+middle RFD,finger,0.5418712561408364,0.0003668471294472153,0.00015814390439039538,0.5155084087185124,0.22791286746661632,0.34395728870431536
finger_impulse_Ns,0.6297215731378,1.7459106200987423e-05,41,37,0.39211253583002925,0.7885610834970842,4.024953357118647,0.00014999250037498125,0.0003491821240197485,0.0003491821240197485,0.27544578486502236,0.12078424475552545,31,0.5418523934248276,0.20464266497781003,0.22437487689906296,1.0,0.2013070745925424,Index+middle impulse,finger,0.610399642160682,3.688795926466713e-05,0.003677998870604937,0.4174690940250978,0.3259521821600311,0.34395728870431536
finger_peak_N,0.5935763963518673,6.805596684322373e-05,41,37,0.342135709488694,0.7656919912347637,0.5495456059082124,0.000199990000499975,0.0012250074031780272,0.0003568540385904138,0.38142630862115845,0.028510051580890833,31,0.10967434824246544,0.23586963409434236,0.15989779717020527,0.45616082529425334,0.11292138700865373,Index+middle peak force,finger,0.5609354854448262,0.00020357551123131518,0.004886110592197568,0.4554318677761626,0.28798940840896614,0.34395728870431536
middle_F_rel_N,0.5256931828090013,0.0005886732367654246,41,37,0.2519690129913048,0.7215330389767881,1.0029521958027618,0.0006499675016249188,0.008830098551481369,0.0017746283968393568,0.21834412232406522,0.22219096385968623,31,0.12919905134724038,0.06639045610547094,0.6962349511845499,1.0,0.341832252091825,Middle force at release,middle,0.5366954173081646,0.0004278788935752879,0.0003871065595040246,0.5140906528897122,0.22933062329541654,0.34395728870431536
middle_RFD_Ns,0.4794195833197142,0.0020146817089794337,41,37,0.19311391942071565,0.6904896768094534,2.1463293907257433e-05,0.0026998650067496625,0.017301195015817162,0.0029112918542509606,-0.013660616225701354,0.9398552347734785,31,-1.7479324282511568e-07,0.11276456941933385,0.5063690250580106,1.0,0.9626962567506655,Middle RFD,middle,0.4730306734890912,0.0023566813490605077,0.0011167721057421254,0.5534817470451677,0.18993952913996104,0.34395728870431536
middle_impulse_Ns,0.597120505891733,5.9988851840512376e-05,41,37,0.3469739341754501,0.7679537618848665,8.627815819350731,4.999750012499375e-05,0.0011397881849697351,0.0003568540385904138,0.325669660801295,0.06438899908379703,31,1.4027817890231469,0.24939487983397637,0.13659854033417784,0.8937152107876807,0.16097249770949257,Middle impulse,middle,0.5604931914343837,0.0002064598968081886,0.0054625357460491575,0.45250046577532976,0.290920810409799,0.34395728870431536
middle_peak_N,0.49600159087863505,0.0013221226146540432,41,37,0.21397023007920354,0.7017040862229723,0.8674722375507037,0.0018999050047497626,0.013221226146540432,0.0024038592993709876,0.2954546464063479,0.09505466093852477,31,0.15238724111805788,0.11589188635165357,0.4945723737560743,1.0,0.17282665625186322,Middle peak force,middle,0.4901019045975906,0.0015395873556415887,0.0011795742670051013,0.5400996016284693,0.2033216745566595,0.34395728870431536
pointer_F_rel_N,0.5107776162143721,0.0008920129322964929,41,37,0.23277423972413208,0.7116119616369078,0.7026953669289969,0.0007499625018749063,0.010704155187557915,0.0019822509606588733,0.3015247981220329,0.08814104010702317,31,0.12540834679206855,0.04154566260485451,0.8071193115649866,1.0,0.17282665625186322,Index force at release,pointer,0.5284887519047622,0.0005433937704912152,0.00015159001838283004,0.5267058324115874,0.21671544377354135,0.34395728870431536
pointer_RFD_Ns,0.4789566938711289,0.0020379042979756725,41,37,0.19253540058854132,0.690175162179944,1.0863631982462367e-05,0.0016999150042497876,0.017301195015817162,0.0029112918542509606,-0.21045378875811602,0.2397659360074779,31,-1.5964857038450323e-06,-0.001975788034250733,0.9907401611575932,1.0,0.3425227657249684,Index RFD,pointer,0.5070895975720192,0.000985705138358246,3.4284666372563777e-07,0.552734077238902,0.19068719894622677,0.34395728870431536
pointer_impulse_Ns,0.5858292982110792,8.921350964760344e-05,41,37,0.331606015266405,0.7607331025368215,6.000273330201225,0.00014999250037498125,0.0014274161543616551,0.0003568540385904138,0.19823313477460522,0.26878142847010345,31,0.610069465009813,0.14034820291648442,0.4073784282836018,1.0,0.3583752379601379,Index impulse,pointer,0.5808303170579668,0.00010585681019756336,0.001729947558341105,0.45987078038563467,0.2835504957994941,0.34395728870431536
pointer_peak_N,0.503127011485814,0.001096007975141614,41,37,0.22301204031255725,0.7064918994023701,0.7080111588043032,0.0017499125043747813,0.012056087726557753,0.002192015950283228,0.30468154946328524,0.08470146198609256,31,0.12316883339554945,0.24159411701548403,0.1497089837209891,1.0,0.17282665625186322,Index peak force,pointer,0.45826076387728026,0.003348513775081279,0.0051261573782254155,0.5381283651271176,0.20529291105801117,0.34395728870431536
thumb_F_rel_N,0.4504417956515049,0.004008172429801634,41,37,0.15727732265897854,0.6706453442347827,0.4377151402037287,0.004499775011249437,0.024049034578809806,0.005344229906402179,0.48550742301276667,0.004182006986587401,31,0.12599904345199078,0.2984502065974584,0.07277589418862257,0.08364013973174801,0.03506964356823634,Thumb force at release,thumb,0.38371490311077033,0.015889206854791185,0.007822813807746298,0.5825859961299399,0.16083528005518888,0.34395728870431536
thumb_RFD_Ns,0.3604595107931121,0.02418305019863389,41,37,0.05070973460538086,0.6069477171686996,8.233006369884628e-06,0.015649217539123045,0.12091525099316947,0.030228812748292366,-0.0302062980048873,0.8674730374979098,31,-1.8028148582873564e-07,-0.04479588275886249,0.7923482522258924,1.0,0.9626962567506655,Thumb RFD,thumb,0.3952968942836156,0.01274968562727712,0.00017623632359742292,0.6355927755719167,0.10782850061321203,0.34395728870431536
thumb_finger_ratio,0.07213296354921979,0.6625587280881269,41,37,-0.24905231408143375,0.37902374512415987,1.8188201888888371,0.6738163091845407,0.8289942963405541,0.6625587280881269,0.4197142223392035,0.015032837924853949,31,2.563551176601061,0.3794274128458094,0.020551928573580402,0.25555824472251715,0.07516418962426974,Thumb-to-finger force ratio,total,-0.05272970549658875,0.7498744204039061,0.01264377139643269,0.7517399354012292,-0.008318659216100421,0.34395728870431536
thumb_impulse_Ns,0.5143677842465989,0.0008084915574924987,41,37,0.23737470230877727,0.7140073007404841,2.5124647506780984,0.0014499275036248187,0.010510390247402484,0.0019822509606588733,0.37034649105671,0.03387641610259612,31,0.49479467750969813,0.3224698103653478,0.05159035568004973,0.5081462415389417,0.11292138700865373,Thumb impulse,thumb,0.4450487212074057,0.004526571162507999,0.009132661277549303,0.5326275473028074,0.2107937288823214,0.34395728870431536
thumb_lead_ms,0.13444484851966618,0.41449714817027705,41,37,-0.1890934804513745,0.43165140172035554,0.14475279230077925,0.42507874606269686,0.8289942963405541,0.43631278754766,0.1384814566759281,0.442157055494944,31,0.03819002979345575,0.20975763619039312,0.2127529315220589,1.0,0.5201847711705224,Thumb release lead,thumb,0.07102252384103626,0.6674515868111752,0.003864157203948282,0.7322603061715057,0.01116097001362304,0.34395728870431536
thumb_peak_N,0.3512037795691908,0.028359841350937765,41,37,0.04013400928154914,0.6002109830320885,0.22737925397081973,0.04264786760661967,0.12091525099316947,0.031510934834375295,0.48367547899932767,0.004348558053220801,31,0.07856956931632457,0.3790208537319966,0.02069895526582318,0.08364013973174801,0.03506964356823634,Thumb peak force,thumb,0.24510518769935805,0.13260012678126085,0.012616690134977238,0.653508620215884,0.0899126559692448,0.34395728870431536
