pitcher,pitch_type,t_start,t_end,n_samples,pointer_peak_N,pointer_F_rel_N,pointer_t_rel,pointer_impulse_Ns,pointer_RFD_Ns,middle_peak_N,middle_F_rel_N,middle_t_rel,middle_impulse_Ns,middle_RFD_Ns,thumb_peak_N,thumb_F_rel_N,thumb_t_rel,thumb_impulse_Ns,thumb_RFD_Ns,thumb_lead_ms,pointer_middle_gap_ms,total_peak_N,CV_peak,pointer_share,middle_share,thumb_share,finger_peak_N,finger_F_rel_N,finger_impulse_Ns,finger_RFD_Ns,thumb_finger_ratio,velo_mph,spin_rpm,hz_break,ivb,effort_pct,raw_tag,effort_source,warmup,paired,analyzable
P1,fastball,233630.653,233770.799,69,17.6148023549201,12.411818350985389,233770.799,1.6057247508146753,541970.2815110249,14.899482429855626,11.743150580088077,233770.799,1.007635632931863,635.8643369144256,15.667296786389414,10.740804417226457,233756.38,1.316803046066645,495020.494702631,14.418999999994412,0.0,48.18158157116514,0.08715274103386253,0.36559203289959863,0.30923605958946776,0.3251719075109336,32.514284784775725,24.154968931073466,2.6133603837465382,542606.1458479393,0.4818588780315219,73.8,,,,100.0,73.8,default_max,False,True,True
P1,fastball,271139.974,271279.673,68,18.075949367088608,10.90793303267811,271279.673,1.4305168095429783,1428.6006865889,14.586572438162545,10.195298248138894,271279.673,0.9961842710435425,759.1316625321111,18.912696226934727,10.291825507506033,271265.615,1.3890527184699337,999.808772019737,14.058000000019092,0.0,51.57521803218588,0.13347130869266838,0.35047742029530893,0.28282134317027396,0.36670123653441705,32.66252180525115,21.103231280817006,2.426701080586521,2187.7323491210113,0.5790335583915058,79.1,,,,100.0,79.1,default_max,False,True,True
P1,fastball,322144.317,322366.28,106,21.88031222896791,17.39959375420137,322366.28,2.039201706768925,920464.4495756635,10.602272727272727,7.120640970438342,322366.28,0.6443785716818747,442942.16419535107,30.095797825448134,17.760841178909597,322354.295,3.3377247380916732,823905.233471764,11.985000000044238,0.0,62.578382781688774,0.4691768387613503,0.34964649542478055,0.1694238849901229,0.4809296195850965,32.482584956240636,24.52023472463971,2.6835802784508,1363406.6137710146,0.926521022449171,77.0,,18.9,7.0,100.0,77.0 hz18.9 ivb7.0,default_max,False,True,True
P1,fastball,381407.745,381893.081,140,23.52851711026616,16.914653703553647,381893.081,2.367019792148974,1715.2850080529279,11.792910447761194,9.845146488933288,381890.998,1.3112597748970958,682.9847634868186,15.755741691434748,14.086034305404558,381880.583,2.17843735572421,3203.8157787837476,10.415000000037253,-2.0829999999841675,51.0771692494621,0.35064518948525913,0.4606464582121286,0.23088418213163578,0.30846935965623573,35.32142755802735,26.759800192486935,3.6782795670460695,2398.269771539746,0.44606752276789013,78.0,,,,100.0,78.0,default_max,False,True,True
P1,fastball,431314.416,431826.778,171,21.2720207253886,16.99878894445389,431826.778,2.217316406948707,297974.5977700007,13.348423605497171,11.413310522351567,431824.695,1.3041102314453015,159489.34837352356,20.35,11.125719644379902,431817.565,2.796421693760668,232944.82540516456,7.130000000004657,-2.0829999999841675,54.970444330885776,0.23647909066407374,0.38697196255764427,0.24282910149222145,0.3701989359501342,34.620444330885775,28.412099466805458,3.5214266383940087,457463.94614352426,0.5878029699880325,78.3,,,,100.0,78.3,default_max,False,True,True
P1,fastball,502257.159,502738.331,140,19.952095808383234,14.850150406605769,502738.331,2.1892348325890687,549454.2957216123,13.233441033925686,10.074013857226664,502736.247,1.3255334514221122,286236.4025628126,22.528981429375353,16.591166395485008,502725.825,2.417482831025232,286140.78846962715,10.421999999962281,-2.084000000031665,55.71451827168427,0.25841159423738636,0.35811304534824395,0.23752230916535275,0.4043646454864034,33.18553684230892,24.92416426383243,3.514768284011181,835690.6982844248,0.6788795232220771,,,,,,,,False,False,False
P1,fastball,599895.702,600417.195,164,24.705396638159836,20.964576992599536,600417.195,2.5169766360641628,118193.87316778612,9.613224875360798,5.115810448904996,600417.195,1.0277640224185052,128378.90800197338,29.46998535871157,18.960653357569715,600399.255,3.627512747019956,267352.55147671397,17.93999999994412,0.0,63.7886068722322,0.4875324634825443,0.38730108477904907,0.1507044180258705,0.46199449719508046,34.31862151352063,26.08038744150453,3.544740658482668,246572.78116975952,0.8587170480347286,79.3,,,,100.0,79.3,default_max,False,True,True
P1,fastball,659507.704,660008.857,144,18.695676744843176,17.2174128962794,660008.857,1.6939844729854558,59242.725025844695,10.014473684210527,7.008329704941601,660008.857,1.0583204320035373,258028.48282772696,25.110539845758353,16.23023856686736,659996.5,2.967271258737439,315065.10272455856,12.356999999959953,0.0,53.82069027481206,0.4223097130537199,0.3473696946171035,0.1860710747683828,0.4665592306145137,28.710150429053705,24.225742601221,2.752304904988993,317271.2078535716,0.8746223711996762,81.5,,,,100.0,81.5,default_max,False,True,True
P1,curveball,719443.233,720070.217,194,8.766683911019141,5.939385508549283,720070.217,1.0566991597635569,109518.69751188798,27.269131556319863,19.455762292526938,720070.217,2.639359389887847,79250.97913028186,4.775717551435103,1.821957405712645,720063.973,0.9261111652863103,89591.53696601397,6.243999999947846,0.0,40.81153301877411,0.8822169417388871,0.21480898321036593,0.6681721939672182,0.1170188228224159,36.035815467339006,25.39514780107622,3.6960585496514042,188769.67664216983,0.1325269732209492,68.9,,,,100.0,68.9,default_max,False,True,True
P1,curveball,786810.751,787348.503,135,16.24390243902439,11.79133300112317,787348.503,1.6553282697030618,661372.7815070717,28.011510791366906,24.6747619888359,787342.812,2.5309618029368357,1159299.8380666703,3.7777777777777777,2.6642240364641205,787340.728,0.5815528626768379,270244.68559879885,2.084000000031665,-5.690999999991618,48.03319100816907,0.7568856438716814,0.33818078911854443,0.5831698915569226,0.07864931932453303,44.2554132303913,36.466094989959075,4.186290072639897,1820672.6195737422,0.08536306639169473,70.3,,,,100.0,70.3,default_max,False,True,True
