ball_t_ms,pointer,middle,thumb,pitcher,t_rel_ms
1151998.023,0.9077263779527559,1.2403846153846154,2.014851485148515,P1,0.0
1152000.107,1.1146167118560513,1.1120689655172413,2.424422933730454,P1,2.084000000031665
1152002.189,1.1738594327990135,0.984005905511811,2.461767626613704,P1,4.165999999968335
1152004.275,0.9372384937238494,1.1120689655172413,2.4991308666501117,P1,6.251999999862164
1152006.357,0.8782287822878229,1.1441241685144123,2.3497891342098733,P1,8.334000000031665
1152008.44,1.0258620689655173,1.3046373951652688,2.0891530460624073,P1,10.416999999899417
1152010.52,0.8192771084337349,1.2725030826140566,2.163528245787909,P1,12.496999999973923
1152012.608,0.8782287822878229,1.1761951700344997,2.014851485148515,P1,14.584999999962747
1152018.71,0.8487456960157402,1.1761951700344997,2.200743494423792,P1,20.686999999918044
1152020.796,1.0554323725055432,1.2403846153846154,2.1263314342333417,P1,22.773000000044703
1152022.878,0.6427694574024061,1.1441241685144123,2.3870967741935485,P1,24.854999999981374
1152024.962,0.7603833865814696,1.4333333333333333,2.3870967741935485,P1,26.93900000001304
1152027.047,0.9667651403249631,1.2725030826140566,2.1263314342333417,P1,29.023999999975786
1152029.129,0.8782287822878229,1.2403846153846154,1.9035369774919615,P1,31.105999999912456
1152035.382,0.8192771084337349,1.3689536031589338,2.014851485148515,P1,37.35899999993853
1152037.467,0.8487456960157402,1.208281981759921,2.051993067590988,P1,39.44399999990128
1152053.052,0.8192771084337349,1.4655470486539885,1.9406234537357743,P1,55.02899999986403
1152055.135,0.8782287822878229,1.4655470486539885,2.0891530460624073,P1,57.11199999996461
1152057.214,0.8782287822878229,1.5622837370242215,1.9406234537357743,P1,59.1909999998752
1152059.296,0.8487456960157402,1.4011355220933104,2.014851485148515,P1,61.2730000000447
1152061.378,0.8192771084337349,1.2725030826140566,2.051993067590988,P1,63.35499999998137
1152063.458,0.730958230958231,1.3367875647668395,2.014851485148515,P1,65.43500000005588
1152065.535,0.730958230958231,1.3046373951652688,2.051993067590988,P1,67.51199999987148
1152069.696,0.7898230088495575,1.2403846153846154,1.977728285077951,P1,71.67299999995157
1152071.779,0.8192771084337349,1.2403846153846154,2.051993067590988,P1,73.75600000005215
1152073.862,0.8487456960157402,1.3689536031589338,1.8664688427299703,P1,75.8389999999199
1152077.702,0.7603833865814696,1.4011355220933104,1.8664688427299703,P1,79.67900000000373
1152079.782,0.7603833865814696,1.4977766798418972,2.014851485148515,P1,81.7589999998454
1152081.864,0.7603833865814696,1.4655470486539885,2.3497891342098733,P1,83.8410000000149
1152083.945,0.7603833865814696,1.208281981759921,2.5739130434782607,P1,85.92200000002049
1152086.03,0.8487456960157402,1.4977766798418972,2.4991308666501117,P1,88.00699999998324
1152088.116,0.8192771084337349,1.3689536031589338,2.5739130434782607,P1,90.09299999987707
1152090.198,0.6134020618556701,1.53002223869533,2.1263314342333417,P1,92.17500000004657
1152092.277,0.8487456960157402,1.4655470486539885,2.1263314342333417,P1,94.25399999995716
1152096.441,0.6427694574024061,1.6268545994065282,2.3870967741935485,P1,98.41800000006333
1152098.523,0.7898230088495575,1.53002223869533,2.3870967741935485,P1,100.5
1152100.608,0.7015475313190862,1.5622837370242215,2.461767626613704,P1,102.58499999996275
1152104.461,0.7898230088495575,1.5945611866501854,2.6113320079522864,P1,106.43799999984913
1152104.525,0.730958230958231,1.756188118811881,2.424422933730454,P1,106.50199999986216
1152106.61,0.9372384937238494,1.756188118811881,2.7987061458074147,P1,108.58700000005774
1152108.696,1.1146167118560513,1.756188118811881,2.7987061458074147,P1,110.67299999995157
1152110.78,1.1442307692307692,1.5622837370242215,2.6113320079522864,P1,112.75699999998324
1152112.866,1.1146167118560513,1.6268545994065282,2.6862257583291895,P1,114.84299999987707
1152114.946,1.0258620689655173,1.756188118811881,2.6487695749440716,P1,116.92299999995157
1152117.029,0.9963063284905196,1.7885615251299827,2.8737864077669903,P1,119.00600000005215
1152119.114,1.1738594327990135,1.8857779980178395,2.9489414694894145,P1,121.0910000000149
1152121.198,1.1442307692307692,1.756188118811881,3.13715710723192,P1,123.17500000004657
1152123.273,1.233160621761658,1.8533564528114936,3.47713071732067,P1,125.25
1152125.358,1.1738594327990135,1.9831391024051575,3.2503119540803596,P1,127.33499999996275
1152127.438,0.9077263779527559,1.8857779980178395,3.2503119540803596,P1,129.41500000003725
1152129.528,0.7603833865814696,1.9506693108577096,3.5907953976988494,P1,131.50499999988824
1152131.612,0.9372384937238494,1.9506693108577096,3.5907953976988494,P1,133.5889999999199
1152133.699,1.0554323725055432,2.015625,3.47713071732067,P1,135.67599999997765
1152135.779,0.9963063284905196,2.015625,3.1748565727113993,P1,137.75600000005215
1152137.863,0.8487456960157402,2.1131794489947877,3.13715710723192,P1,139.839999999851
1152139.945,0.8782287822878229,2.1457298907646476,3.6666666666666665,P1,141.9220000000205
1152142.026,1.0554323725055432,2.3087248322147653,3.704630788485607,P1,144.00300000002608
1152144.116,1.1146167118560513,2.504854368932039,3.932815241915267,P1,146.09299999987707
1152146.2,1.0554323725055432,2.504854368932039,4.276381909547739,P1,148.17699999990873
1152148.285,1.1146167118560513,2.5703611457036115,4.391249685692733,P1,150.26199999987148
1152150.364,1.2035027133695115,2.635933217044605,4.314651922593616,P1,152.3410000000149
1152150.429,1.2035027133695115,2.701570680628272,4.085319949811794,P1,152.40599999995902
1152152.512,1.262833168805528,2.603139013452915,4.276381909547739,P1,154.4890000000596
1152154.596,1.4411764705882353,2.603139013452915,4.467924528301887,P1,156.57299999985844
1152154.669,1.5305466237942122,2.6687437686939184,4.7753970254600455,P1,156.6459999999497
1152156.754,1.5902004454342984,2.865951073389915,4.852459016393443,P1,158.73099999991246
1152158.836,1.5902004454342984,2.9318181818181817,4.62150591790481,P1,160.81299999984913
1152160.917,1.4114158636026686,3.195945945945946,4.929598788796366,P1,162.8939999998547
1152163.0,1.620049504950495,3.1628721541155866,4.852459016393443,P1,164.9769999999553
1152165.085,1.7695167286245352,3.195945945945946,5.394077448747153,P1,167.06199999991804
1152167.174,1.5603661553686294,2.865951073389915,5.045454545454546,P1,169.15100000007078
1152169.266,1.5603661553686294,3.096774193548387,5.08411214953271,P1,171.24300000001676
1152171.346,1.859375,2.9318181818181817,5.47176500379843,P1,173.32299999985844
1152173.427,1.6797919762258544,2.964776417686735,6.2529905828455075,P1,175.40399999986403
1152175.509,1.7695167286245352,2.8330421761916647,6.056939501779359,P1,177.48600000003353
1152177.59,1.7695167286245352,3.2621432148222334,6.213740458015267,P1,179.56700000003912
1152179.671,2.461864406779661,3.560853199498118,6.607142857142857,P1,181.6480000000447
1152181.754,2.461864406779661,3.8609154929577465,6.607142857142857,P1,183.73099999991246
1152183.835,2.4315973087465736,3.7607439055038956,6.804597701149425,P1,185.81199999991804
1152185.915,2.3106796116504853,3.92778057372924,6.567712318286151,P1,187.89199999999255
1152187.995,2.4315973087465736,4.195915279878971,7.161290322580645,P1,189.97200000006706
1152190.074,2.3711083437110836,3.6607232546459065,7.002557544757034,P1,192.05099999997765
1152190.1,2.5224438902743143,3.527596588058204,6.962925083098952,P1,192.07700000004843
1152192.185,2.220149253731343,3.6940467219291637,6.962925083098952,P1,194.16200000001118
1152194.268,2.1900024869435466,3.3947368421052633,6.962925083098952,P1,196.24499999987893
1152196.351,2.5224438902743143,3.461133400200602,6.844149207971385,P1,198.3279999999795
1152198.44,2.5527562983287604,3.560853199498118,6.7255552718917535,P1,200.41699999989942
1152200.527,2.2804878048780486,3.5941265060240966,7.479733196511031,P1,202.50399999995716
1152202.608,2.5830838323353293,3.8609154929577465,7.280553420445811,P1,204.58499999996275
1152204.696,2.5527562983287604,3.8275081719889363,7.320348539210661,P1,206.67299999995157
1152206.783,2.492146596858639,3.92778057372924,7.63944530046225,P1,208.7600000000093
1152208.866,2.4315973087465736,3.7607439055038956,7.6794246082712565,P1,210.84299999987707
1152210.946,2.401345291479821,3.8275081719889363,7.6794246082712565,P1,212.92299999995157
1152213.026,2.4315973087465736,3.7941176470588234,7.759444872783346,P1,215.00300000002608
1152215.114,2.461864406779661,3.6607232546459065,7.559548254620124,P1,217.0910000000149
1152217.199,2.340886454183267,3.6940467219291637,7.599486521181001,P1,219.17599999997765
1152219.284,2.340886454183267,3.727386934673367,7.360164060497309,P1,221.2609999999404
1152223.106,2.492146596858639,3.6940467219291637,6.883720930232558,P1,225.08299999986775
1152223.132,2.6134265036186672,3.727386934673367,6.923312883435583,P1,225.10899999993853
1152225.216,2.4315973087465736,3.7941176470588234,6.923312883435583,P1,227.1929999999702
1152230.432,2.492146596858639,3.7607439055038956,6.804597701149425,P1,232.4089999999851
1152232.52,2.6134265036186672,3.560853199498118,6.923312883435583,P1,234.49699999997392
1152234.603,2.340886454183267,3.560853199498118,6.7255552718917535,P1,236.57999999984168
1152236.686,2.401345291479821,3.6274165202108963,6.686064318529862,P1,238.66299999994226
1152238.767,2.492146596858639,3.560853199498118,6.686064318529862,P1,240.74399999994785
1152240.853,2.401345291479821,3.6607232546459065,6.804597701149425,P1,242.82999999984168
1152242.935,2.4315973087465736,3.7941176470588234,6.7255552718917535,P1,244.91200000001118
1152245.023,2.3711083437110836,3.7607439055038956,6.765066394279877,P1,247.0
1152247.105,2.220149253731343,3.727386934673367,6.607142857142857,P1,249.08199999993667
1152249.188,2.2503110226424483,3.6607232546459065,6.370860927152318,P1,251.16500000003725
1152251.276,2.3711083437110836,3.560853199498118,6.528301886792453,P1,253.25300000002608
1152253.357,2.401345291479821,3.7607439055038956,6.331550802139038,P1,255.33400000003166
1152255.438,2.1598707110890105,3.6607232546459065,6.213740458015267,P1,257.41500000003725
1152257.513,2.492146596858639,3.3615635179153096,6.370860927152318,P1,259.4899999999907
1152259.59,2.3106796116504853,3.527596588058204,6.213740458015267,P1,261.5670000000391
1152261.679,2.2503110226424483,3.527596588058204,6.4495412844036695,P1,263.655999999959
1152263.761,2.099652087475149,3.494356659142212,6.1353001017294,P1,265.7379999998957
1152265.842,1.9793942403177756,3.427926798696415,5.978658536585366,P1,267.8189999999013
1152267.921,1.9793942403177756,3.560853199498118,6.056939501779359,P1,269.8980000000447
1152270.004,2.0695652173913044,3.2621432148222334,5.978658536585366,P1,271.98099999991246
1152273.867,1.6797919762258544,3.427926798696415,5.783303730017762,P1,275.844000000041
1152275.946,2.009436304941644,3.3947368421052633,5.822335025380711,P1,277.92299999995157
1152278.025,1.8294073890404166,3.3284068136272547,5.355263157894737,P1,280.00199999986216
1152280.114,2.009436304941644,3.3284068136272547,5.47176500379843,P1,282.0910000000149
1152282.197,1.8294073890404166,3.129814907453727,5.200202224469161,P1,284.17399999988265
1152284.28,1.8294073890404166,2.8330421761916647,4.968197879858657,P1,286.25699999998324
1152286.36,1.8893574795336145,2.865951073389915,4.7753970254600455,P1,288.33700000005774
1152288.446,1.739593657086224,2.898876404494382,4.813918305597579,P1,290.42299999995157
1152290.523,1.739593657086224,2.865951073389915,4.929598788796366,P1,292.5
1152292.598,1.739593657086224,2.8001497005988023,4.968197879858657,P1,294.57499999995343
1152294.686,1.5603661553686294,2.603139013452915,4.62150591790481,P1,296.66299999994226
1152296.763,1.5007418397626113,2.6687437686939184,4.7753970254600455,P1,298.7399999999907
1152298.849,1.2925203653418909,2.701570680628272,4.352941176470588,P1,300.8259999998845
1152300.929,1.262833168805528,2.635933217044605,4.161687170474517,P1,302.905999999959
1152303.951,1.4709517923362176,2.406716417910448,4.199899547965846,P1,305.9279999998398
1152306.033,1.4114158636026686,2.3740363093757773,4.199899547965846,P1,308.0100000000093
1152308.114,1.2925203653418909,2.3413724515166585,4.161687170474517,P1,310.0910000000149
1152310.199,1.233160621761658,2.243478260869565,3.8947368421052633,P1,312.17599999997765
1152312.281,1.233160621761658,2.178296498634219,3.628721541155867,P1,314.2579999999143
1152312.314,1.3222222222222222,2.178296498634219,3.8186372745490984,P1,314.29099999996834
1152314.401,1.4709517923362176,2.1457298907646476,3.6666666666666665,P1,316.3780000000261
1152314.49,1.3519387503087181,2.1131794489947877,3.552888222055514,P1,316.466999999946
1152316.576,1.1146167118560513,2.0806451612903225,3.515,P1,318.5529999998398
1152318.66,1.1442307692307692,2.1457298907646476,3.43928035982009,P1,320.6369999998715
1152320.746,1.1442307692307692,2.1131794489947877,3.4014489133150136,P1,322.72299999999814
1152322.822,0.9963063284905196,2.015625,3.212574850299401,P1,324.79899999988265
1152326.331,0.9372384937238494,1.8533564528114936,3.099476439790576,P1,328.3079999999609
1152328.413,1.1146167118560513,1.7885615251299827,3.061814556331007,P1,330.38999999989755
1152332.289,1.0850172498767865,1.756188118811881,3.099476439790576,P1,334.26600000006147
1152334.374,1.1146167118560513,1.8209509658246656,3.024171442810865,P1,336.3510000000242
1152336.454,0.8782287822878229,1.9182156133828996,2.7611940298507465,P1,338.4309999998659
1152338.533,0.7898230088495575,1.8533564528114936,2.9113545816733066,P1,340.5100000000093
1152340.616,0.7015475313190862,1.7885615251299827,2.836236933797909,P1,342.59299999987707
1152342.7,0.8192771084337349,1.8857779980178395,3.13715710723192,P1,344.67699999990873
1152344.78,0.9077263779527559,1.7238307349665924,2.9489414694894145,P1,346.75699999998324
1152346.861,0.8192771084337349,1.6268545994065282,2.6487695749440716,P1,348.8379999999888
1152348.947,0.8487456960157402,1.6268545994065282,2.7611940298507465,P1,350.92399999988265
1152351.028,0.49607650809220205,1.4977766798418972,2.7237005719970155,P1,353.00499999988824
