pitcher,pitch_type,t_end,pointer_peak,pointer_F5,pointer_J5,pointer_F10,pointer_J10,pointer_F25,pointer_J25,pointer_F50,pointer_J50,pointer_F100,pointer_J100,pointer_secpk,pointer_unload,middle_peak,middle_F5,middle_J5,middle_F10,middle_J10,middle_F25,middle_J25,middle_F50,middle_J50,middle_F100,middle_J100,middle_secpk,middle_unload,thumb_peak,thumb_F5,thumb_J5,thumb_F10,thumb_J10,thumb_F25,thumb_J25,thumb_F50,thumb_J50,thumb_F100,thumb_J100,thumb_secpk,thumb_unload,finger_peak,finger_F5,finger_J5,finger_F10,finger_J10,finger_F25,finger_J25,finger_F50,finger_J50,finger_F100,finger_J100,finger_secpk,finger_unload,velo_mph,effort_pct,analyzable
P1,fastball,233770.799,17.6148023549201,12.409797210576395,0.05537063073776109,12.411818350985389,0.08198355438786524,12.637494198798029,0.3127242592814022,14.528317389827933,0.7225220438061662,14.14423881219534,1.4175915337015519,16.77737531345779,3357592.109733651,14.899482429855626,11.187733894934183,0.05836351944468522,11.743150580088077,0.08761359708495109,12.867082413587704,0.3400825120018074,13.213428985924144,0.6812724810383182,9.590200937402736,0.9891138335420012,14.899482429855626,10570205.130743507,15.667296786389414,8.75203606550095,0.035642332756777265,10.740804417226457,0.09234021889014057,13.393499510900357,0.33564492698440607,13.773639702023281,0.7002764533772194,11.56886352102494,1.1688331697776744,15.667296786389414,36221.2003623572,31.14927426998885,23.59753110551058,0.1137341501824463,24.154968931073466,0.16959715147281637,25.50457661238573,0.6528067712832095,27.741746375752076,1.4037945248444845,23.73443974959807,2.406705367243553,31.14927426998885,13927797.24047716,73.8,100.0,True
P1,fastball,271279.673,18.075949367088608,11.155324751415307,0.04983897286285099,10.90793303267811,0.10957656753849306,11.3358934710219,0.2604473802402384,14.114568487759826,0.6773545016609199,13.393500394349582,1.3215061146463258,18.075949367088608,3636347.1035035183,14.586572438162545,9.93642304645477,0.04974546140655936,10.195298248138894,0.11140324490804132,11.40877088939074,0.27406766997138904,12.44091885972243,0.6121891049207456,9.60268350665339,0.9601541314582366,14.586572438162545,8452189.648019746,18.912696226934727,8.061247502175558,0.039728441624328564,10.291825507506033,0.09468840707148515,14.182166705310943,0.33689241365324507,15.415971624034476,0.7572486271161089,12.439837067996095,1.2381808897198392,18.912696226934727,72353.9355081095,31.118165016456718,21.091747797870074,0.09958443426941033,21.103231280817003,0.2209798124465343,22.74466436041264,0.5345150502116274,26.55548734748226,1.2895436065816657,22.99618390100297,2.281660246104561,31.118165016456718,12088536.751523264,79.1,100.0,True
P1,fastball,322366.28,21.88031222896791,17.96219941315384,0.0374152613783606,17.39959375420137,0.17013110560376168,16.51799500466706,0.3854181251734706,18.63815237823268,0.9254084136899013,17.557735407826666,1.7521523033877342,21.839595375722542,2950.8428911380147,10.602272727272727,6.838292367399742,0.014244163001583435,7.120640970438342,0.06236531963738108,8.74073960822518,0.19593035941624412,7.831985340124155,0.37661103802201423,5.613255934232403,0.5449695608010295,10.602272727272727,2082.529314107565,30.095797825448134,12.990992706629513,0.05429512217385256,17.760841178909597,0.15965638756686054,23.25751851119192,0.536538772199401,25.955394301189717,1.1876845977912194,23.753746834733516,2.390177253624061,30.095797825448134,52258.13016254679,28.90897389164806,24.80049178055358,0.05165942437994403,24.520234724639714,0.23249642524114275,25.25873461289224,0.5813484845897149,26.470137718356835,1.3020194517119152,23.170991342059068,2.2971218641887643,28.90897389164806,1681.8605848191517,77.0,100.0,True
P1,fastball,381893.081,23.52851711026616,18.298262280369272,0.07834447112819115,16.914653703553647,0.14368843402041614,16.781461345415536,0.41497953983672076,19.656192706914638,0.9827254130500325,17.613536633177972,1.7529922383311536,23.237302977232925,1732.0456567034482,11.792910447761194,9.25421815297729,0.039429756455993316,9.845146488933288,0.08380862661589648,10.773810869119925,0.2719005471859751,10.365103268662619,0.5234448060574598,7.56079020958828,0.7578119453525846,11.792910447761194,2976.1347854577025,15.755741691434748,13.031827489055667,0.055455805755866255,14.086034305404558,0.12069565969627345,14.64683042161701,0.3706413989331883,14.432192536882619,0.7239872816588461,12.274011442412172,1.2322854216428725,15.755741691434748,4286.618380852142,33.956552872453166,24.383255045103734,0.10484706790011847,24.79920523704524,0.21364950845697725,26.72381801897781,0.6711336892011954,29.72229555606003,1.4970190687313876,25.1572463313313,2.5152130303993716,33.956552872453166,4708.180442161151,78.0,100.0,True
P1,fastball,431826.778,21.2720207253886,17.641632630193413,0.07416822983983382,16.99878894445389,0.16264951142219342,16.62905722069644,0.3767354762781463,18.61453279607157,0.8821238977483179,16.735374715844873,1.6382621693933375,21.2720207253886,,13.348423605497171,11.056976782613916,0.04845987588716467,11.413310522351567,0.10844830616116588,10.576053416714254,0.25172977006359715,9.21057155980417,0.44090346313939427,6.880555758473084,0.6684452769481499,13.348423605497171,,20.35,8.857646405519288,0.03873558129472177,11.125719644379902,0.11440377508121254,16.45144867304563,0.3992665282581401,17.0958952324247,0.8630915522929218,14.821219076119519,1.4695247911151952,20.35,3947.136170175674,34.620444330885775,24.58350370958827,0.10273058670763474,26.65701007300332,0.2550888225477696,26.62273429362807,0.6181466744227307,27.561342371372486,1.3115344766335537,23.57883422755909,2.3089359460737255,34.620444330885775,,78.3,100.0,True
P1,fastball,600417.195,24.705396638159836,22.571865883671062,0.09518295408579332,20.964576992599536,0.19310931584508978,19.731727806914197,0.4695665374941088,21.683006582348966,1.056639477443399,18.83084593895992,1.8694714661645575,24.705396638159836,1738.1500898366792,9.613224875360798,2.9932208632184625,0.013202361015771219,5.115810448904996,0.0459336447444494,7.417264664743985,0.18318851922547774,7.172634042884418,0.3561840940831135,5.527284287989253,0.5572224518808507,9.613224875360798,1578.7622078713832,29.46998535871157,16.270693799585697,0.06861001546656958,18.960653357569715,0.15362503170927191,24.15598313255566,0.6004896850482555,24.845649058325748,1.2335794783384217,20.42329237417537,2.039136793061062,29.46998535871157,6572.994351402471,31.61664860385057,25.565086746889524,0.10838531510156452,26.08038744150453,0.23904296058953917,27.14899247165818,0.6527550567195864,28.855640625233377,1.4128235715265125,24.35813022694917,2.426693918045408,31.61664860385057,2699.070128372416,79.3,100.0,True
P1,fastball,660008.857,18.695676744843176,17.726865619583148,0.07487653669973793,17.2174128962794,0.10798463507612266,15.542841962111943,0.31779930546723656,16.38698335331576,0.7935810956694298,12.729116257982431,1.2756936165507413,18.695676744843176,,10.014473684210527,6.560508249334511,0.02780499759039556,7.008329704941601,0.04561210298040803,8.465122673441673,0.17549036257196202,7.531079726534102,0.36918060810239933,5.432986786771376,0.545315046564841,10.014473684210527,1478.733023861766,25.110539845758353,14.805972613789724,0.057737790641348735,16.23023856686736,0.14001350796547077,20.004109877717347,0.5334816648181128,21.451814299924628,1.1105493785530594,17.963670204123762,1.8274581111591335,25.110539845758353,4018992.1556752403,25.99446674315271,24.287373868917655,0.10268153429013352,24.225742601221,0.15359673805653068,24.007964635553616,0.4932896680391986,23.918063079849862,1.1627617037718292,18.162103044753806,1.8210086631155824,25.99446674315271,1012827.9869745453,81.5,100.0,True
P1,curveball,720070.217,8.766683911019141,6.573607123123885,0.02825357639714499,5.939385508549283,0.04956521281878018,6.181756678698093,0.15208539029184148,7.185237447260489,0.3454966366159879,6.34991930374129,0.6303701635479729,8.442953020134228,396.93044318909796,27.269131556319863,18.41369752017228,0.08595097648306135,19.455762292526938,0.1745733603275799,18.915439983778196,0.4877706797809786,17.11415440491025,0.8510669283573316,12.292217965989977,1.234525502455118,27.269131556319863,,4.775717551435103,0.4765557957527933,0.001975603212727951,1.821957405712645,0.014188412299991264,3.466105638508379,0.08640400290783604,3.9880866877920527,0.20118216049394277,3.637570198012449,0.3683825585024308,4.775717551435103,1529.4294092707048,34.66913155631986,24.987304643296167,0.11420455288020634,25.39514780107622,0.22413857314636007,25.097196662476286,0.6398560700728201,24.299391852170732,1.1965635649733195,18.642137269731265,1.8648956660030906,34.66913155631986,,68.9,100.0,True
P1,curveball,787348.503,16.24390243902439,10.137311984605692,0.03657542164053287,11.79133300112317,0.11581667398020523,12.520955191853972,0.3034469859992488,14.132883986015461,0.6851526384467658,11.580917052630847,1.1492259960510691,16.021650879566984,1893.5488965693517,28.011510791366906,25.849507567030454,0.10669667333714627,24.6747619888359,0.20427393660362178,21.902401715864624,0.5075189634770519,19.22010025638164,0.9598186525732213,14.115636691658613,1.364006092939357,28.011510791366906,,3.7777777777777777,1.9836298581180485,0.008185774243666004,2.6642240364641205,0.023573778562836066,2.8867196453878985,0.06975625309279247,2.4562794830927834,0.12035958840522137,2.120700870745138,0.20897965900622756,3.7777777777777777,819.599144182227,42.320027127735415,11.140545045282973,0.04019508652346397,27.702330765612356,0.256432752840724,31.557536733907238,0.7596979553009529,32.44809879449914,1.58551026582717,25.582150687913792,2.5308169515337844,42.320027127735415,,70.3,100.0,True
P1,curveball,854779.918,21.71716605992719,9.75812968203297,0.03711790592551525,10.693933904079971,0.11011109699654159,13.910946131648975,0.3482529355290251,17.325341614016637,0.8783153852839014,15.181911919531975,1.5160757159577274,21.71716605992719,373281.5787224061,30.329545454545453,26.803040270075158,0.10339971815930903,24.391213354626554,0.19312758613059902,21.804546008736875,0.5215392718923361,20.644590268067077,1.0248467513306652,14.763835430203683,1.4725155512748258,30.329545454545453,,8.067796610169491,6.596500044610036,0.03214064406704277,6.2931855324093515,0.05764149402221512,4.910526137733799,0.12504686960443764,4.388750986541038,0.21765905636809071,4.054881069740768,0.40357495536999693,8.067796610169491,2115.0319607010642,42.32426562350005,28.939557505557797,0.11285866412210256,31.11614601332759,0.33158283277061945,34.32046542470309,0.8738083667402408,37.292401224869685,1.894427577481901,30.1074475902515,3.0094279436918576,42.32426562350005,,73.9,100.0,True
